cpse_code,material_code,description,uom,category,subcategory,manufacturer,manufacturer_part_number,material_grade,size,pressure_class,voltage,power,frequency,diameter,schedule,seal_type,body_material,trim_material,end_connection,length
IOCL,IOCL-DEMO-573FF4,CABLE HAVELLS 8511C X GYSY SQMM E633/Z49H FX72 47 EACH 677.06 MM2 1.1KV PVC,EACH,CAT-CBL,Cable,Havells,8511C x GYSY sqmm E633/Z49H FX72,,,,,,,,,,,,,
ONGC,ONGC-DEMO-B23346,GASKET FLEXITALLIC W145-PUFR-UAI8-4DHS-81YS-7GON 14.08 INCH 300# PTFE SS304,EACH,CAT-GSK,Gasket,Flexitallic,W145-PUFR-UAI8-4DHS-81YS-7GON,,14.08 inch,300#,,,,,,,,,,
SAIL,SAIL-DEMO-564B82,FASTENER HILTI FEAL-00UVXWDO0-4PEB-XRL0 55 INCH 406 MM 10.9 METRIC COARSE,EACH,CAT-FST,Fastener,Hilti,FEAL-00UVxWDO0-4PEB-XRL0,,,,,,,55 inch,,,,,,
IOCL,IOCL-DEMO-8A426F,FLANGE GALPERTI 4HF1-0OP3-O05P-DB96-840V 58.01 INCH 1500# THREADED RING TYPE JOINT (RTJ),EACH,CAT-FLG,Flange,Galperti,4HF1-0OP3-O05P-DB96-840V,,58.01 inch,1500#,,,,,,,,,,
BHEL,BHEL-DEMO-4A501A,MOTOR BALDOR UT84-AHJ2-RSIE-WPB6-1ZMD 1298.66 KW 488 V 50 HZ 1200 RPM TEFC,EACH,CAT-MTR,Motor,Baldor,UT84-AHJ2-RSIE-WPB6-1ZMD,,,,488 V,1298.66 kW,50 HZ,,,,,,,
BHEL,BHEL-DEMO-5A4BAD,MOTOR SIEMENS YTIO-TQ2B-6Q2U-2FW6-UFA9 2422.11 KW 2379 V 50 HZ 3600 RPM EXPLOSION PROOF,EACH,CAT-MTR,Motor,Siemens,YTIO-TQ2B-6Q2U-2FW6-UFA9,,,,2379 V,2422.11 kW,50 HZ,,,,,,,
NTPC,NTPC-DEMO-594A0B,CABLE NEXANS ZB7IC X T0X6 SQMM UVXJ/6O1H HM9A 63 EACH 290.31 MM2 11KV RUBBER,EACH,CAT-CBL,Cable,Nexans,ZB7IC x T0X6 sqmm UVXJ/6O1H HM9A,,,,,,,,,,,,,
NTPC,NTPC-DEMO-A88B82,BEARING NTN ITW1S44JS1SZ (E.G. 6204-2RS1/C3) 540 MM 257 MM 396 INCH NR,EACH,CAT-BRG,Bearing,NTN,ITW1S44JS1SZ (e.g. 6204-2RS1/C3),,,,,,,,,NR,,,,
ONGC,ONGC-DEMO-1FEB43,MOTOR SIEMENS PWRA-10CE-RVHS-L4JS-7HAC 5293.92 HP 7189 KV 60 HZ 1200 RPM TENV,EACH,CAT-MTR,Motor,Siemens,PWRA-10CE-RVHS-L4JS-7HAC,,,,7189 KV,5293.92 HP,60 HZ,,,,,,,
NTPC,NTPC-DEMO-D2AB8A,INSTRUMENTATION WIKA 8YV8-5H7E-CTFY-49NR-K8FJ 4345 DEGF 4-20MA 1/4 NPT 0.5%,EACH,CAT-INS,Instrumentation,WIKA,8YV8-5H7E-CTFY-49NR-K8FJ,,,,,,,,,,,,,
IOCL,IOCL-DEMO-5F8E49,VALVE FLOWSERVE 2ABC-P7QF-1PTC-8VC7-YOM5-H6A3 36.28 INCH 900# CF8M LUG,EACH,CAT-VLV,Valve,Flowserve,2ABC-P7QF-1PTC-8VC7-YOM5-H6A3,,36.28 inch,900#,,,,,,,CF8M,,Lug,
ONGC,ONGC-DEMO-4AC1E4,FASTENER WÜRTH UNOK-6KNAXRGM1-7COD-CULJ 85 INCH 226 MM 12.9 METRIC FINE,EACH,CAT-FST,Fastener,Würth,UNOK-6KNAxRGM1-7COD-CULJ,,,,,,,85 inch,,,,,,
BHEL,BHEL-DEMO-9BA759,GASKET KLINGER 6CO4-PMCJ-BY4U-2PIU-FJTW-BAGM 2.1 INCH 1500# CORRUGATED METAL GRAPHITE/SS316,EACH,CAT-GSK,Gasket,Klinger,6CO4-PMCJ-BY4U-2PIU-FJTW-BAGM,,2.1 inch,1500#,,,,,,,,,,
BHEL,BHEL-DEMO-4EB9F2,BEARING NSK XO2RFFHVG0XC (E.G. 6204-2RS1/C3) 466 INCH 955 MM 412 MM 2RS,EACH,CAT-BRG,Bearing,NSK,XO2RFFHVG0XC (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,
NTPC,NTPC-DEMO-F8164C,PPE ANSELL X1I1-7EW8-595B-POXK L NITRILE EN 397 HI-VIS,EACH,CAT-PPE,PPE,Ansell,X1I1-7EW8-595B-POXK,,L,,,,,,,,,,,
SAIL,SAIL-DEMO-04BFE4,FLANGE MELESI Z104-SAJ0-HTKH-397P-NHU7 12.76 MM 600# LAP JOINT FLAT FACE (FF),EACH,CAT-FLG,Flange,Melesi,Z104-SAJ0-HTKH-397P-NHU7,,12.76 mm,600#,,,,,,,,,,
SAIL,SAIL-DEMO-D6BD73,ELECTRICAL COMPONENT ABB BH64-WH5C-87SB-3KU5 5957.16 KA 732121 V 4P 43 KA,EACH,CAT-ELC,Electrical Component,ABB,BH64-WH5C-87SB-3KU5,,,,,,,,,,,,,
NTPC,NTPC-DEMO-7D0EF6,MOTOR SIEMENS 39IA-H91X-FPTN-1C97-6S1O 4140.81 HP 10784 V 50 HZ 1200 RPM TEFC,EACH,CAT-MTR,Motor,Siemens,39IA-H91X-FPTN-1C97-6S1O,,,,10784 V,4140.81 HP,50 HZ,,,,,,,
NTPC,NTPC-DEMO-3BA83B,INSTRUMENTATION WIKA ART5-APZN-YCF6-73IF-2I8D 6827 DEGC 4-20MA 1/2 NPT 1.0%,EACH,CAT-INS,Instrumentation,WIKA,ART5-APZN-YCF6-73IF-2I8D,,,,,,,,,,,,,
NTPC,NTPC-DEMO-DA6B60,FASTENER WÜRTH PKLW-6PTBXCMOP-XOXI-ZWHR 85 INCH 15 INCH 10.9 UNF,EACH,CAT-FST,Fastener,Würth,PKLW-6PTBxCMOP-XOXI-ZWHR,,,,,,,85 inch,,,,,,
IOCL,IOCL-DEMO-9D31EC,CABLE NEXANS O5OCC X K6P8 SQMM Z1BS/WJ8R MJCV 64 EACH 913.58 MM2 33KV PVC,EACH,CAT-CBL,Cable,Nexans,O5OCC x K6P8 sqmm Z1BS/WJ8R MJCV,,,,,,,,,,,,,
NTPC,NTPC-DEMO-51B56A,PUMP SULZER Y44V-39R6-RVXS-ISDA 1461 GPM 1811 FT 3008.52 HP,EACH,CAT-PMP,Pump,Sulzer,Y44V-39R6-RVXS-ISDA,,,,,3008.52 HP,,,,,,,,
SAIL,SAIL-DEMO-4D76EA,VALVE FLOWSERVE SYWS-O51F-10B4-YB63-V21I-UD1S 25.91 INCH 150# CF8M FLANGED,EACH,CAT-VLV,Valve,Flowserve,SYWS-O51F-10B4-YB63-V21I-UD1S,,25.91 inch,150#,,,,,,,CF8M,,Flanged,
SAIL,SAIL-DEMO-986B3F,PIPE ARCELORMITTAL IV96-AD6R-UJRA-VYS2-EFHQ 25.83 INCH STD ASTM A106 GR B 9 FT,EACH,CAT-PIP,Pipe,ArcelorMittal,IV96-AD6R-UJRA-VYS2-EFHQ,ASTM A106 Gr B,,,,,,25.83 inch,STD,,,,,
BHEL,BHEL-DEMO-BFCD2C,INSTRUMENTATION YOKOGAWA 1Y7F-GUTQ-BRCT-10DN-11LX 8294 DEGC 0-10V 1/2 NPT 0.25%,EACH,CAT-INS,Instrumentation,Yokogawa,1Y7F-GUTQ-BRCT-10DN-11LX,,,,,,,,,,,,,
IOCL,IOCL-DEMO-E32AF2,LUBRICANT SHELL 3MBS YX4P 3XL0 - NDBS ISO VG 46 MINERAL NLGI 3 105 L,EACH,CAT-LUB,Lubricant,Shell,3MBS YX4P 3XL0 - NDBS,,,,,,,,,,,,,
SAIL,SAIL-DEMO-016190,VALVE VELAN 7PUW-P4YB-32BF-YVRT-495V-CIKD 0.61 INCH 600# DUCTILE IRON SOCKET WELD,EACH,CAT-VLV,Valve,Velan,7PUW-P4YB-32BF-YVRT-495V-CIKD,,0.61 inch,600#,,,,,,,Ductile Iron,,Socket Weld,
IOCL,IOCL-DEMO-845892,PUMP FLOWSERVE HX5P-SAM4-MBJ1-BBBG 9179 M3/H 1690 FT 1757.48 KW,EACH,CAT-PMP,Pump,Flowserve,HX5P-SAM4-MBJ1-BBBG,,,,,1757.48 KW,,,,,,,,
ONGC,ONGC-DEMO-31023C,FLANGE GALPERTI MIH2-BC0B-SFXD-FHF5-G47Y 53.78 MM 600# BLIND FLAT FACE (FF),EACH,CAT-FLG,Flange,Galperti,MIH2-BC0B-SFXD-FHF5-G47Y,,53.78 mm,600#,,,,,,,,,,
BHEL,BHEL-DEMO-F5B5A0,INSTRUMENTATION ROSEMOUNT 50RC-S186-PAM1-9VWE-STOX 9553 DEGF 4-20MA 1/4 NPT 0.5%,EACH,CAT-INS,Instrumentation,Rosemount,50RC-S186-PAM1-9VWE-STOX,,,,,,,,,,,,,
NTPC,NTPC-DEMO-7DC283,CABLE HAVELLS Q1WGC X XD93 SQMM ZWQV/ENZH I4EA 91 EACH 167.53 MM2 3.3KV EPR,EACH,CAT-CBL,Cable,Havells,Q1WGC x XD93 sqmm ZWQV/ENZH I4EA,,,,,,,,,,,,,
IOCL,IOCL-DEMO-81A52D,ELECTRICAL COMPONENT ABB 5MG0-7J8D-C3XR-6332 3677.29 A 727231 V 1P 125 KA,EACH,CAT-ELC,Electrical Component,ABB,5MG0-7J8D-C3XR-6332,,,,,,,,,,,,,
NTPC,NTPC-DEMO-F33ED7,FASTENER BOSSARD JQ2J-7FU8XEKIJ-BR9Q-BSA1 84 MM 346 MM A4-80 METRIC FINE,EACH,CAT-FST,Fastener,Bossard,JQ2J-7FU8xEKIJ-BR9Q-BSA1,,,,,,,84 mm,,,,,,
ONGC,ONGC-DEMO-E3D0B7,MOTOR BALDOR XC91-E6QX-1NH7-DQEE-54PY 1277.53 KW 7665 V 50 HZ 750 RPM ODP,EACH,CAT-MTR,Motor,Baldor,XC91-E6QX-1NH7-DQEE-54PY,,,,7665 V,1277.53 kW,50 HZ,,,,,,,
IOCL,IOCL-DEMO-3489D2,INSTRUMENTATION WIKA FSXN-YFGI-IGHU-VZLO-J5AL 7143 DEGC MODBUS 1/4 NPT 0.25%,EACH,CAT-INS,Instrumentation,WIKA,FSXN-YFGI-IGHU-VZLO-J5AL,,,,,,,,,,,,,
SAIL,SAIL-DEMO-88133E,INSTRUMENTATION HONEYWELL DSRR-9E5U-YKYB-IJKT-S27Y 8497 BAR PROFIBUS 1/2 NPT 0.25%,EACH,CAT-INS,Instrumentation,Honeywell,DSRR-9E5U-YKYB-IJKT-S27Y,,,,,,,,,,,,,
SAIL,SAIL-DEMO-48F6DD,GASKET KLINGER ZY10-NA7I-7UTD-VXC7-D1DG-CZI2 55.48 INCH 600# PTFE PTFE,EACH,CAT-GSK,Gasket,Klinger,ZY10-NA7I-7UTD-VXC7-D1DG-CZI2,,55.48 inch,600#,,,,,,,,,,
NTPC,NTPC-DEMO-09FF8C,VALVE VELAN MW2K-KXHF-5PEX-8YQU-MGBT-A3PS 71.17 MM 600# DUCTILE IRON SOCKET WELD,EACH,CAT-VLV,Valve,Velan,MW2K-KXHF-5PEX-8YQU-MGBT-A3PS,,71.17 mm,600#,,,,,,,Ductile Iron,,Socket Weld,
BHEL,BHEL-DEMO-5D39D1,PUMP FLOWSERVE UIPN-M0OL-2SUW-QYRR 1649 GPM 2355 M 1319.89 HP,EACH,CAT-PMP,Pump,Flowserve,UIPN-M0OL-2SUW-QYRR,,,,,1319.89 HP,,,,,,,,
ONGC,ONGC-DEMO-614B13,BEARING NSK WC9MURJX7JPV (E.G. 6204-2RS1/C3) 1340 INCH 1708 MM 191 INCH Z,EACH,CAT-BRG,Bearing,NSK,WC9MURJX7JPV (e.g. 6204-2RS1/C3),,,,,,,,,Z,,,,
NTPC,NTPC-DEMO-1C2E2C,FLANGE CHW FORGE 271Z-KC86-OOUW-HHZR-LNGN 31.34 MM 600# BLIND FLAT FACE (FF),EACH,CAT-FLG,Flange,CHW Forge,271Z-KC86-OOUW-HHZR-LNGN,,31.34 mm,600#,,,,,,,,,,
IOCL,IOCL-DEMO-90CA68,FLANGE ULMA CMZ1-PVA9-8Y2F-E46C-ZK0E 29.69 INCH 300# SOCKET WELD FLAT FACE (FF),EACH,CAT-FLG,Flange,Ulma,CMZ1-PVA9-8Y2F-E46C-ZK0E,,29.69 inch,300#,,,,,,,,,,
IOCL,IOCL-DEMO-4CB6FD,GASKET FLEXITALLIC T29K-K8TO-ED8C-0SAM-CBIY-00TG 18.48 MM 1500# CORRUGATED METAL PTFE,EACH,CAT-GSK,Gasket,Flexitallic,T29K-K8TO-ED8C-0SAM-CBIY-00TG,,18.48 mm,1500#,,,,,,,,,,
BHEL,BHEL-DEMO-C64990,MOTOR CROMPTON GREAVES U4SK-43EE-MW5V-BLGW-RTBL 7972.25 HP 8212 KV 50 HZ 1000 RPM ODP,EACH,CAT-MTR,Motor,Crompton Greaves,U4SK-43EE-MW5V-BLGW-RTBL,,,,8212 KV,7972.25 HP,50 HZ,,,,,,,
NTPC,NTPC-DEMO-6CC21A,PPE DUPONT XN1X-5B9T-9G8H-V123 9 LEATHER ANSI BLUE,EACH,CAT-PPE,PPE,DuPont,XN1X-5B9T-9G8H-V123,,9,,,,,,,,,,,
NTPC,NTPC-DEMO-8CEB56,FASTENER BOSSARD 824Y-NOTJXWSU5-IZHH-F92E 64 MM 244 MM A4-80 METRIC FINE,EACH,CAT-FST,Fastener,Bossard,824Y-NOTJxWSU5-IZHH-F92E,,,,,,,64 mm,,,,,,
IOCL,IOCL-DEMO-7FF48C,GASKET KLINGER VSRD-DT3A-VRI9-SBCI-V8ZE-1Q8G 15.46 MM 150# CNAF SOFT IRON,EACH,CAT-GSK,Gasket,Klinger,VSRD-DT3A-VRI9-SBCI-V8ZE-1Q8G,,15.46 mm,150#,,,,,,,,,,
ONGC,ONGC-DEMO-4BB86F,PUMP SULZER Q6BF-63K4-DA5B-2HLF 2252 GPM 2517 M 2647.63 HP,EACH,CAT-PMP,Pump,Sulzer,Q6BF-63K4-DA5B-2HLF,,,,,2647.63 HP,,,,,,,,
NTPC,NTPC-DEMO-44053F,VALVE VELAN 216V-6PLE-HQHB-BGRR-IFOB-M66T 20.73 MM 2500# DUCTILE IRON THREADED,EACH,CAT-VLV,Valve,Velan,216V-6PLE-HQHB-BGRR-IFOB-M66T,,20.73 mm,2500#,,,,,,,Ductile Iron,,Threaded,
IOCL,IOCL-DEMO-FF92E0,FASTENER HILTI T06P-O019XK3R9-HB7Y-CLKM 80 MM 340 MM 12.9 UNF,EACH,CAT-FST,Fastener,Hilti,T06P-O019xK3R9-HB7Y-CLKM,,,,,,,80 mm,,,,,,
BHEL,BHEL-DEMO-195147,PUMP KSB SMDU-UJ35-623V-B0Z3 3840 GPM 1083 M 685.26 HP,EACH,CAT-PMP,Pump,KSB,SMDU-UJ35-623V-B0Z3,,,,,685.26 HP,,,,,,,,
NTPC,NTPC-DEMO-9A47BF,BEARING NTN DQDRBSO3MC2D (E.G. 6204-2RS1/C3) 1413 INCH 393 MM 181 INCH OPEN,EACH,CAT-BRG,Bearing,NTN,DQDRBSO3MC2D (e.g. 6204-2RS1/C3),,,,,,,,,Open,,,,
BHEL,BHEL-DEMO-424E31,MOTOR SIEMENS BQ4E-2SHO-HDGH-4SMR-SMRK 8049.63 HP 978 V 50 HZ 1800 RPM TENV,EACH,CAT-MTR,Motor,Siemens,BQ4E-2SHO-HDGH-4SMR-SMRK,,,,978 V,8049.63 HP,50 HZ,,,,,,,
BHEL,BHEL-DEMO-B3FD0C,FASTENER HILTI 8XHT-HVF3X1GEF-6SZ2-29CJ 80 MM 105 INCH 8.8 METRIC FINE,EACH,CAT-FST,Fastener,Hilti,8XHT-HVF3x1GEF-6SZ2-29CJ,,,,,,,80 mm,,,,,,
BHEL,BHEL-DEMO-9A0248,BEARING SKF PEPP49IJLAZ5 (E.G. 6204-2RS1/C3) 207 MM 872 INCH 366 INCH Z,EACH,CAT-BRG,Bearing,SKF,PEPP49IJLAZ5 (e.g. 6204-2RS1/C3),,,,,,,,,Z,,,,
IOCL,IOCL-DEMO-155A11,LUBRICANT SHELL D08C TYK4 XMUE - UHSG ISO VG 220 PAG NLGI 2 45 L,EACH,CAT-LUB,Lubricant,Shell,D08C TYK4 XMUE - UHSG,,,,,,,,,,,,,
IOCL,IOCL-DEMO-027E87,MOTOR CROMPTON GREAVES GGEQ-8BF6-B5UA-YPP1-05MF 8781.1 KW 8364 V 60 HZ 1800 RPM TENV,EACH,CAT-MTR,Motor,Crompton Greaves,GGEQ-8BF6-B5UA-YPP1-05MF,,,,8364 V,8781.1 kW,60 HZ,,,,,,,
NTPC,NTPC-DEMO-67B930,FASTENER WÜRTH LFM4-BX26X6MCJ-KCVD-J455 75 INCH 64 MM A4-80 METRIC COARSE,EACH,CAT-FST,Fastener,Würth,LFM4-BX26x6MCJ-KCVD-J455,,,,,,,75 inch,,,,,,
IOCL,IOCL-DEMO-908E59,GASKET GARLOCK RQKH-UB8G-187P-IJ64-Q7LQ-VAK6 56.9 INCH 300# PTFE SOFT IRON,EACH,CAT-GSK,Gasket,Garlock,RQKH-UB8G-187P-IJ64-Q7LQ-VAK6,,56.9 inch,300#,,,,,,,,,,
NTPC,NTPC-DEMO-A13C2C,PIPE ARCELORMITTAL EDV4-NZF7-MJJW-760J-NYR4 80.55 INCH STD API 5L X52 7 FT,EACH,CAT-PIP,Pipe,ArcelorMittal,EDV4-NZF7-MJJW-760J-NYR4,API 5L X52,,,,,,80.55 inch,STD,,,,,
SAIL,SAIL-DEMO-C532F7,MOTOR BALDOR D9XQ-QCK2-1QBS-I2IS-FMO9 6591.37 KW 6268 V 60 HZ 1000 RPM EXPLOSION PROOF,EACH,CAT-MTR,Motor,Baldor,D9XQ-QCK2-1QBS-I2IS-FMO9,,,,6268 V,6591.37 kW,60 HZ,,,,,,,
BHEL,BHEL-DEMO-552D96,FASTENER KAMAX DPVY-ZR9DX1SDP-H8F8-09UT 59 MM 40 INCH A4-80 METRIC FINE,EACH,CAT-FST,Fastener,Kamax,DPVY-ZR9Dx1SDP-H8F8-09UT,,,,,,,59 mm,,,,,,
SAIL,SAIL-DEMO-072D29,MOTOR ABB ZQCA-BFOU-JE3C-VAVP-I3I6 3478.19 HP 1474 V 50 HZ 3600 RPM ODP,EACH,CAT-MTR,Motor,ABB,ZQCA-BFOU-JE3C-VAVP-I3I6,,,,1474 V,3478.19 HP,50 HZ,,,,,,,
NTPC,NTPC-DEMO-C08746,GASKET LAMONS KS4F-0RDI-FHN6-I6JU-3FRZ-ATAN 43.51 INCH 600# CORRUGATED METAL SOFT IRON,EACH,CAT-GSK,Gasket,Lamons,KS4F-0RDI-FHN6-I6JU-3FRZ-ATAN,,43.51 inch,600#,,,,,,,,,,
NTPC,NTPC-DEMO-1B482E,BEARING TIMKEN WGHNBHJUXP1R (E.G. 6204-2RS1/C3) 1407 INCH 1345 MM 127 INCH NR,EACH,CAT-BRG,Bearing,Timken,WGHNBHJUXP1R (e.g. 6204-2RS1/C3),,,,,,,,,NR,,,,
ONGC,ONGC-DEMO-A5659B,PPE MSA SAFETY D431-PIKU-35UT-H6IG 7 NITRILE CE BLUE,EACH,CAT-PPE,PPE,MSA Safety,D431-PIKU-35UT-H6IG,,7,,,,,,,,,,,
ONGC,ONGC-DEMO-F51717,PPE MSA SAFETY 9YZH-N101-LGCT-QAE7 8 HDPE EN 388 HI-VIS,EACH,CAT-PPE,PPE,MSA Safety,9YZH-N101-LGCT-QAE7,,8,,,,,,,,,,,
BHEL,BHEL-DEMO-7E2E69,INSTRUMENTATION ROSEMOUNT MVHP-38WC-ML1R-I8GL-D6AQ 2411 BAR 0-10V FLANGED 2 INCH 0.1%,EACH,CAT-INS,Instrumentation,Rosemount,MVHP-38WC-ML1R-I8GL-D6AQ,,,,,,,,,,,,,
NTPC,NTPC-DEMO-6E184E,FLANGE MELESI 7LEX-P2ZR-U8TS-LHK9-NYFC 52.08 INCH 2500# THREADED RING TYPE JOINT (RTJ),EACH,CAT-FLG,Flange,Melesi,7LEX-P2ZR-U8TS-LHK9-NYFC,,52.08 inch,2500#,,,,,,,,,,
IOCL,IOCL-DEMO-A0C12C,VALVE FLOWSERVE 9DV0-HWOB-38ZN-9IA3-L9KZ-SZB8 16.99 MM 300# CF8M WAFER,EACH,CAT-VLV,Valve,Flowserve,9DV0-HWOB-38ZN-9IA3-L9KZ-SZB8,,16.99 mm,300#,,,,,,,CF8M,,Wafer,
NTPC,NTPC-DEMO-108490,GASKET KLINGER 5GPM-8S4S-IB3E-33DL-GA2K-ISAV 21.49 INCH 2500# PTFE PTFE,EACH,CAT-GSK,Gasket,Klinger,5GPM-8S4S-IB3E-33DL-GA2K-ISAV,,21.49 inch,2500#,,,,,,,,,,
SAIL,SAIL-DEMO-439055,FLANGE CHW FORGE MJER-3XCK-MCBM-4CVK-JG2T 54.35 INCH 1500# SOCKET WELD RAISED FACE (RF),EACH,CAT-FLG,Flange,CHW Forge,MJER-3XCK-MCBM-4CVK-JG2T,,54.35 inch,1500#,,,,,,,,,,
IOCL,IOCL-DEMO-87FF9F,PIPE TENARIS R66X-BS84-JE7Y-CVNG-U4IO 111.23 MM SCH10 API 5L X52 12 FT,EACH,CAT-PIP,Pipe,Tenaris,R66X-BS84-JE7Y-CVNG-U4IO,API 5L X52,,,,,,111.23 mm,SCH10,,,,,
IOCL,IOCL-DEMO-B76F95,GASKET KLINGER 3AXI-96BS-L971-S7GM-9Q6F-ACZ5 47.77 MM 900# CNAF PTFE,EACH,CAT-GSK,Gasket,Klinger,3AXI-96BS-L971-S7GM-9Q6F-ACZ5,,47.77 mm,900#,,,,,,,,,,
NTPC,NTPC-DEMO-23056D,MOTOR ABB V8LN-8DCQ-9J60-IA7Z-VLEA 8829.34 KW 9809 V 60 HZ 3000 RPM TEFC,EACH,CAT-MTR,Motor,ABB,V8LN-8DCQ-9J60-IA7Z-VLEA,,,,9809 V,8829.34 kW,60 HZ,,,,,,,
SAIL,SAIL-DEMO-7F5FAC,BEARING FAG KMRE0A70EYPS (E.G. 6204-2RS1/C3) 266 MM 357 INCH 334 INCH Z,EACH,CAT-BRG,Bearing,FAG,KMRE0A70EYPS (e.g. 6204-2RS1/C3),,,,,,,,,Z,,,,
IOCL,IOCL-DEMO-2F74E8,FASTENER BOSSARD KOKH-2B0HXECW4-O9E5-V42G 17 INCH 374 INCH 10.9 UNF,EACH,CAT-FST,Fastener,Bossard,KOKH-2B0HxECW4-O9E5-V42G,,,,,,,17 inch,,,,,,
IOCL,IOCL-DEMO-B36E0F,ELECTRICAL COMPONENT SCHNEIDER ELECTRIC Y98P-OCYO-463O-U2PM 3216.62 A 366642 KV 2P 45 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,Y98P-OCYO-463O-U2PM,,,,,,,,,,,,,
NTPC,NTPC-DEMO-841306,PPE HONEYWELL LR1I-8O9W-14O6-B4P2 XL NITRILE EN 397 YELLOW,EACH,CAT-PPE,PPE,Honeywell,LR1I-8O9W-14O6-B4P2,,XL,,,,,,,,,,,
IOCL,IOCL-DEMO-39BEFD,GASKET FLEXITALLIC 9UFK-93MR-EOM8-K9UH-N24G-JD94 47.31 INCH 150# SPIRAL WOUND PTFE,EACH,CAT-GSK,Gasket,Flexitallic,9UFK-93MR-EOM8-K9UH-N24G-JD94,,47.31 inch,150#,,,,,,,,,,
ONGC,ONGC-DEMO-A3394A,BEARING NTN UH25MN4B9A2I (E.G. 6204-2RS1/C3) 753 MM 1235 MM 158 MM OPEN,EACH,CAT-BRG,Bearing,NTN,UH25MN4B9A2I (e.g. 6204-2RS1/C3),,,,,,,,,Open,,,,
ONGC,ONGC-DEMO-F98764,INSTRUMENTATION ROSEMOUNT AGNS-581F-268K-0NHN-O5UW 33 PSI 0-10V 1/4 NPT 0.1%,EACH,CAT-INS,Instrumentation,Rosemount,AGNS-581F-268K-0NHN-O5UW,,,,,,,,,,,,,
ONGC,ONGC-DEMO-F7558E,PPE HONEYWELL J1YE-YU22-LCOD-QZPX 11 LEATHER EN 388 HI-VIS,EACH,CAT-PPE,PPE,Honeywell,J1YE-YU22-LCOD-QZPX,,11,,,,,,,,,,,
ONGC,ONGC-DEMO-C986E0,PPE ANSELL 8JWP-2RZH-IE2U-45FX M KEVLAR EN 397 RED,EACH,CAT-PPE,PPE,Ansell,8JWP-2RZH-IE2U-45FX,,M,,,,,,,,,,,
BHEL,BHEL-DEMO-FC6DC6,GASKET FLEXITALLIC CBFO-17HM-8LJ3-XAUQ-24QZ-HXRI 49.28 INCH 150# PTFE SOFT IRON,EACH,CAT-GSK,Gasket,Flexitallic,CBFO-17HM-8LJ3-XAUQ-24QZ-HXRI,,49.28 inch,150#,,,,,,,,,,
ONGC,ONGC-DEMO-4182FF,LUBRICANT SHELL 3Z6V A9TR XT3O - 6M1L SAE 10W-40 SYNTHETIC (PAO) NLGI 3 135 KG,EACH,CAT-LUB,Lubricant,Shell,3Z6V A9TR XT3O - 6M1L,,,,,,,,,,,,,
NTPC,NTPC-DEMO-1E6E60,CABLE LAPP Q56OC X 7RQR SQMM GHOA/H7PG TMD3 44 EACH 69.93 MM2 33KV PVC,EACH,CAT-CBL,Cable,LAPP,Q56OC x 7RQR sqmm GHOA/H7PG TMD3,,,,,,,,,,,,,
SAIL,SAIL-DEMO-3EBB1C,PIPE ARCELORMITTAL TS57-RR0J-48PN-9S23-8N70 60.29 INCH XS ASTM A333 GR 6 11 FT,EACH,CAT-PIP,Pipe,ArcelorMittal,TS57-RR0J-48PN-9S23-8N70,ASTM A333 Gr 6,,,,,,60.29 inch,XS,,,,,
IOCL,IOCL-DEMO-3D5837,GASKET GARLOCK N8V2-BZ5S-VTQ9-763E-XLCV-ZNQY 14.85 MM 1500# CORRUGATED METAL SS304,EACH,CAT-GSK,Gasket,Garlock,N8V2-BZ5S-VTQ9-763E-XLCV-ZNQY,,14.85 mm,1500#,,,,,,,,,,
IOCL,IOCL-DEMO-BA3251,GASKET LAMONS VMT9-MRDI-JA3A-67IE-66OY-UBVM 24.16 MM 900# RTJ SS304,EACH,CAT-GSK,Gasket,Lamons,VMT9-MRDI-JA3A-67IE-66OY-UBVM,,24.16 mm,900#,,,,,,,,,,
IOCL,IOCL-DEMO-8420D9,FLANGE MELESI YET6-H7TW-ETQR-MU4X-EH7Z 69.82 INCH 2500# LAP JOINT RING TYPE JOINT (RTJ),EACH,CAT-FLG,Flange,Melesi,YET6-H7TW-ETQR-MU4X-EH7Z,,69.82 inch,2500#,,,,,,,,,,
SAIL,SAIL-DEMO-1D5A47,MOTOR ABB 7LW0-PZQ0-1CXD-C8KU-7YCR 5646.75 HP 7715 KV 50 HZ 900 RPM EXPLOSION PROOF,EACH,CAT-MTR,Motor,ABB,7LW0-PZQ0-1CXD-C8KU-7YCR,,,,7715 KV,5646.75 HP,50 HZ,,,,,,,
NTPC,NTPC-DEMO-4D9EE1,FASTENER WÜRTH HHW7-25XZX4Q8Y-ADRR-L82M 32 INCH 57 INCH 10.9 METRIC COARSE,EACH,CAT-FST,Fastener,Würth,HHW7-25XZx4Q8Y-ADRR-L82M,,,,,,,32 inch,,,,,,
SAIL,SAIL-DEMO-7E1B5F,FLANGE MELESI 2J55-N9B8-M5VC-O33F-QO5V 59.8 MM 900# BLIND RAISED FACE (RF),EACH,CAT-FLG,Flange,Melesi,2J55-N9B8-M5VC-O33F-QO5V,,59.8 mm,900#,,,,,,,,,,
