cpse_code,material_code,description,uom,category,subcategory,manufacturer,manufacturer_part_number,material_grade,size,pressure_class,voltage,power,frequency,diameter,schedule,seal_type,body_material,trim_material,end_connection,plant
AHM,AHM-SYN-995719,[SYN] INSTRUMENTATION YLMX-KFZ2-JINO-Z2HL-H3QT-INCOMPAT YOKOGAWA,EACH,CAT-INS,Instrumentation,Yokogawa,YLMX-KFZ2-JINO-Z2HL-H3QT-INCOMPAT,,,,,,,,,,,,,PLANT-3
CPI,CPI-SYN-503643,[SYN] BEARING SKF P77MGE2KMVS0 (E.G. 6204-2RS1/C3) 372 INCH 810 INCH 474 MM 2RS,EACH,CAT-BRG,Bearing,SKF,P77MGE2KMVS0 (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,PLANT-5
AHM,AHM-SYN-967284,[SYN] BRNG SKF P77MGE2KMVS0 (E.G. 6204-2RS1/C3) 2RS,EACH,CAT-BRG,Bearing,SKF,P77MGE2KMVS0 (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,PLANT-5
GME,GME-SYN-741715,[SYN] BEARING SKF R92W5FFYTJ29 (E.G. 6204-2RS1/C3) 326 MM 687 INCH 316 MM ZZ,EACH,CAT-BRG,Bearing,SKF,R92W5FFYTJ29 (e.g. 6204-2RS1/C3),,,,,,,,,ZZ,,,,PLANT-2
GME,GME-SYN-451636,[SYN] BEARING SKF R92W5FFYTJ29 (E.G. 6204-2RS1/C3) ZZ,EACH,CAT-BRG,Bearing,SKF,R92W5FFYTJ29 (e.g. 6204-2RS1/C3),,,,,,,,,ZZ,,,,PLANT-2
GME,GME-SYN-448704,[SYN] ELECTRICAL COMPONENT SCHNEIDER ELECTRIC B58T-B8SX-WM1I-P7OO 5984.33 KA 503291 V 4P 143 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,B58T-B8SX-WM1I-P7OO,,,,,,,,,,,,,PLANT-2
CPI,CPI-SYN-674804,[SYN] ELECTRICAL COMPONENT SCHNEIDER ELECTRIC B58T-B8SX-WM1I-P7OO-INCOMPAT,EACH,CAT-ELC,Electrical Component,Schneider Electric,B58T-B8SX-WM1I-P7OO-INCOMPAT,,,,,,,,,,,,,PLANT-2
NEC,NEC-SYN-802398,[SYN] FLANGE ULMA ESH4-Z6MU-BCJT-1KEV-D47L 56.35 INCH 600# BLIND FLAT FACE (FF),EACH,CAT-FLG,Flange,Ulma,ESH4-Z6MU-BCJT-1KEV-D47L,,56.35 inch,600#,,,,,,,,,,PLANT-4
NEC,NEC-SYN-146181,[SYN] FLANGE ULMA ESH4-Z6MU-BCJT-1KEV-D47L-INCOMPAT 56.35 INCH 600#,EACH,CAT-FLG,Flange,Ulma,ESH4-Z6MU-BCJT-1KEV-D47L-INCOMPAT,,56.35 inch,600#,,,,,,,,,,PLANT-4
BUS,BUS-SYN-616688,[SYN] FLANGE MELESI V674-7D81-A4Q0-4UTR-NCB4 52.28 MM 300# SLIP-ON RING TYPE JOINT (RTJ),EACH,CAT-FLG,Flange,Melesi,V674-7D81-A4Q0-4UTR-NCB4,,52.28 mm,300#,,,,,,,,,,PLANT-5
NEC,NEC-SYN-493231,[SYN] FLANGE MELESI V674-7D81-A4Q0-4UTR-NCB4-INCOMPAT 52.28 MM 300#,EACH,CAT-FLG,Flange,Melesi,V674-7D81-A4Q0-4UTR-NCB4-INCOMPAT,,52.28 mm,300#,,,,,,,,,,PLANT-5
AHM,AHM-SYN-777328,[SYN] INSTRUMENTATION ROSEMOUNT D5QR-B4NW-259V-FCB5-AR7U 4008 BAR MODBUS FLANGED 2 INCH 1.0%,EACH,CAT-INS,Instrumentation,Rosemount,D5QR-B4NW-259V-FCB5-AR7U,,,,,,,,,,,,,PLANT-2
CPI,CPI-SYN-716038,[SYN] INSTRUMENTATION ROSEMOUNT D5QR-B4NW-259V-FCB5-AR7U-INCOMPAT,EACH,CAT-INS,Instrumentation,Rosemount,D5QR-B4NW-259V-FCB5-AR7U-INCOMPAT,,,,,,,,,,,,,PLANT-2
NEC,NEC-SYN-753174,[SYN] PPE DUPONT GDNW-FND0-PJ65-X97X 8 HDPE EN 397 WHITE,EACH,CAT-PPE,PPE,DuPont,GDNW-FND0-PJ65-X97X,,8,,,,,,,,,,,PLANT-2
NEC,NEC-SYN-174198,[SYN] PPE DUPONT GDNW-FND0-PJ65-X97X-INCOMPAT 8,EACH,CAT-PPE,PPE,DuPont,GDNW-FND0-PJ65-X97X-INCOMPAT,,8,,,,,,,,,,,PLANT-2
AHM,AHM-SYN-715394,[SYN] LUBRICANT SHELL EF6U FQDS D3AZ - HMR2 SAE 10W-40 MINERAL NLGI 3 889 L,EACH,CAT-LUB,Lubricant,Shell,EF6U FQDS D3AZ - HMR2,,,,,,,,,,,,,PLANT-2
AHM,AHM-SYN-946046,[SYN] LUBRICANT SHELL EF6U FQDS D3AZ - HMR2-INCOMPAT,EACH,CAT-LUB,Lubricant,Shell,EF6U FQDS D3AZ - HMR2-INCOMPAT,,,,,,,,,,,,,PLANT-2
AHM,AHM-SYN-553105,[SYN] PPE MSA SAFETY R4ZV-5TUJ-REFN-49TG 10 LEATHER CE HI-VIS,EACH,CAT-PPE,PPE,MSA Safety,R4ZV-5TUJ-REFN-49TG,,10,,,,,,,,,,,PLANT-5
AHM,AHM-SYN-402170,[SYN] PPE MSA SAFETY R4ZV-5TUJ-REFN-49TG-INCOMPAT 10,EACH,CAT-PPE,PPE,MSA Safety,R4ZV-5TUJ-REFN-49TG-INCOMPAT,,10,,,,,,,,,,,PLANT-5
NEC,NEC-SYN-698512,[SYN] BEARING SKF 34CKVUD14IIY (E.G. 6204-2RS1/C3) 1386 INCH 143 INCH 405 INCH 2RS,EACH,CAT-BRG,Bearing,SKF,34CKVUD14IIY (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,PLANT-5
BUS,BUS-SYN-365668,[SYN] BEARING SKF 34CKVUD14IIY (E.G. 6204-2RS1/C3) 2RS,EACH,CAT-BRG,Bearing,SKF,34CKVUD14IIY (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,PLANT-5
CPI,CPI-SYN-870596,[SYN] INSTRUMENTATION YOKOGAWA Z3UF-ZDEC-4A1Q-OYSU-27ET 2165 DEGF MODBUS SANITARY 0.25%,EACH,CAT-INS,Instrumentation,Yokogawa,Z3UF-ZDEC-4A1Q-OYSU-27ET,,,,,,,,,,,,,PLANT-4
BUS,BUS-SYN-734880,[SYN] INSTRUMENTATION YOKOGAWA Z3UF-ZDEC-4A1Q-OYSU-27ET-INCOMPAT,EACH,CAT-INS,Instrumentation,Yokogawa,Z3UF-ZDEC-4A1Q-OYSU-27ET-INCOMPAT,,,,,,,,,,,,,PLANT-4
NEC,NEC-SYN-859606,[SYN] FLANGE CHW FORGE H6RY-800B-QQ49-A5U3-1265 44.79 INCH 300# THREADED RAISED FACE (RF),EACH,CAT-FLG,Flange,CHW Forge,H6RY-800B-QQ49-A5U3-1265,,44.79 inch,300#,,,,,,,,,,PLANT-2
AHM,AHM-SYN-572702,[SYN] FLANGE 300# 44.79 CHW INCH H6RY-800B-QQ49-A5U3-1265-INCOMPAT FORGE,EACH,CAT-FLG,Flange,CHW Forge,H6RY-800B-QQ49-A5U3-1265-INCOMPAT,,44.79 inch,300#,,,,,,,,,,PLANT-2
BUS,BUS-SYN-400898,[SYN] MOTOR WEG WDI0-MP4Z-FL2V-90C3-JUUN 8207.69 HP 1290 V 60 HZ 1800 RPM EXPLOSION PROOF,EACH,CAT-MTR,Motor,WEG,WDI0-MP4Z-FL2V-90C3-JUUN,,,,1290 V,8207.69 HP,60 HZ,,,,,,,PLANT-5
AHM,AHM-SYN-263978,[SYN] MOTOR WEG WDR0-MP4Z-FL2V-90C3-JUUN 8207.69 HP 1290 V 60 HZ,EACH,CAT-MTR,Motor,WEG,WDI0-MP4Z-FL2V-90C3-JUUN,,,,1290 V,8207.69 HP,CONFLICTING_VAL,,,,,,,PLANT-5
CPI,CPI-SYN-331964,[SYN] LUBRICANT KLÜBER FRC9 Y55H WV06 - 3E3Z ISO VG 32 SILICONE NLGI 3 180 KG,EACH,CAT-LUB,Lubricant,Klüber,FRC9 Y55H WV06 - 3E3Z,,,,,,,,,,,,,PLANT-2
BUS,BUS-SYN-402317,[SYN] LUBRICANT KLÜBER FRC9 Y55H WV06 - 3E3Z-INCOMPAT,EACH,CAT-LUB,Lubricant,Klüber,FRC9 Y55H WV06 - 3E3Z-INCOMPAT,,,,,,,,,,,,,PLANT-2
GME,GME-SYN-702792,[SYN] BEARING FAG 9UXGVC4QM7O7 (E.G. 6204-2RS1/C3) 87 MM 1284 MM 59 MM 2RS,EACH,CAT-BRG,Bearing,FAG,9UXGVC4QM7O7 (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,PLANT-2
NEC,NEC-SYN-846190,[SYN] BEARING FAG 9UXGVC4QM7O7 (E.G. 6204-2RS1/C3) 2RS,EACH,CAT-BRG,Bearing,FAG,9UXGVC4QM7O7 (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,PLANT-2
NEC,NEC-SYN-431277,[SYN] BEARING NSK KLXEO3ENLQYD (E.G. 6204-2RS1/C3) 465 INCH 1178 INCH 55 MM Z,EACH,CAT-BRG,Bearing,NSK,KLXEO3ENLQYD (e.g. 6204-2RS1/C3),,,,,,,,,Z,,,,PLANT-4
CPI,CPI-SYN-907646,[SYN] BRNG 6204-2RS1/C3) NSK Z KLXEO3ENLQYD (E.G.,EACH,CAT-BRG,Bearing,NSK,KLXEO3ENLQYD (e.g. 6204-2RS1/C3),,,,,,,,,Z,,,,PLANT-4
CPI,CPI-SYN-761939,[SYN] PIPE TENARIS BFWU-KRSS-XQNX-0SEE-F762 59.44 INCH SCH80 ASTM A312 TP316L 6 M,EACH,CAT-PIP,Pipe,Tenaris,BFWU-KRSS-XQNX-0SEE-F762,ASTM A312 TP316L,,,,,,59.44 inch,SCH80,,,,,PLANT-2
CPI,CPI-SYN-751088,[SYN] PIPE TENARIS BFWU-KRSS-XQNX-0SEE-F762 59.44 INCH SCH80 ASTM A312 TP316L,EACH,CAT-PIP,Pipe,Tenaris,BFWU-KRSS-XQNX-0SEE-F762,ASTM A312 TP316L,,,,,,CONFLICTING_VAL,SCH80,,,,,PLANT-2
GME,GME-SYN-296978,[SYN] VALVE KITZ 7ACT-6Q0J-O8BG-5RKH-8PTR-26Y4 6.82 MM 1500# LCC WAFER,EACH,CAT-VLV,Valve,KITZ,7ACT-6Q0J-O8BG-5RKH-8PTR-26Y4,,6.82 mm,1500#,,,,,,,LCC,,Wafer,PLANT-1
BUS,BUS-SYN-632817,[SYN] VALVE LCC 6.82 MM WAFER 7ACT-6Q0J-O8BG-5RKH-8PTR-26Y4 KITZ 1500#,EACH,CAT-VLV,Valve,KITZ,7ACT-6Q0J-O8BG-5RKH-8PTR-26Y4,,6.82 mm,1500#,,,,,,,CONFLICTING_VAL,,Wafer,PLANT-1
NEC,NEC-SYN-428755,[SYN] BEARING NTN AMYX93JH20NX (E.G. 6204-2RS1/C3) 421 MM 797 INCH 225 INCH 2RS,EACH,CAT-BRG,Bearing,NTN,AMYX93JH20NX (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,PLANT-5
BUS,BUS-SYN-518993,[SYN] BRNG NTN AMYX93JH20NX (E.G. 6204-2RS1/C3) 2RS,EACH,CAT-BRG,Bearing,NTN,AMYX93JH20NX (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,PLANT-5
GME,GME-SYN-177706,[SYN] FLANGE CHW FORGE 51XV-19G2-AAYV-A5WD-BDZE 37.84 INCH 1500# THREADED FLAT FACE (FF),EACH,CAT-FLG,Flange,CHW Forge,51XV-19G2-AAYV-A5WD-BDZE,,37.84 inch,1500#,,,,,,,,,,PLANT-1
AHM,AHM-SYN-762673,[SYN] FLANGE CHW INCH 37.84 1500# 51XV-19G2-AAYV-A5WD-BDZE-INCOMPAT FORGE,EACH,CAT-FLG,Flange,CHW Forge,51XV-19G2-AAYV-A5WD-BDZE-INCOMPAT,,37.84 inch,1500#,,,,,,,,,,PLANT-1
NEC,NEC-SYN-133630,[SYN] PPE HONEYWELL R57Z-GKCQ-WVCZ-W2FY XL POLYCARBONATE CE YELLOW,EACH,CAT-PPE,PPE,Honeywell,R57Z-GKCQ-WVCZ-W2FY,,XL,,,,,,,,,,,PLANT-5
NEC,NEC-SYN-620412,[SYN] PPE HONEYWELL R57Z-GKCQ-WVCZ-W2FY-INCOMPAT XL,EACH,CAT-PPE,PPE,Honeywell,R57Z-GKCQ-WVCZ-W2FY-INCOMPAT,,XL,,,,,,,,,,,PLANT-5
GME,GME-SYN-814386,[SYN] BEARING SKF VZHPNUDB49EH (E.G. 6204-2RS1/C3) 896 INCH 762 INCH 448 INCH RS,EACH,CAT-BRG,Bearing,SKF,VZHPNUDB49EH (e.g. 6204-2RS1/C3),,,,,,,,,RS,,,,PLANT-5
BUS,BUS-SYN-244152,[SYN] BRNG SKF VZHPNUDB49EH (E.G. 6204-2RS1/C3) RS,EACH,CAT-BRG,Bearing,SKF,VZHPNUDB49EH (e.g. 6204-2RS1/C3),,,,,,,,,RS,,,,PLANT-5
NEC,NEC-SYN-100728,[SYN] MOTOR BALDOR QS3A-N7ZS-CRF4-Z0ZP-M1BL 7557.04 HP 8180 KV 50 HZ 1800 RPM TENV,EACH,CAT-MTR,Motor,Baldor,QS3A-N7ZS-CRF4-Z0ZP-M1BL,,,,8180 KV,7557.04 HP,50 HZ,,,,,,,PLANT-2
BUS,BUS-SYN-604503,[SYN] MOTOR BALDOR QS3A-N7ZS-CRF4-Z0ZP-M1BL 7557.04 HP 8180 KV 50 HZ,EACH,CAT-MTR,Motor,Baldor,QS3A-N7ZS-CRF4-Z0ZP-M1BL,,,,8180 KV,CONFLICTING_VAL,50 HZ,,,,,,,PLANT-2
GME,GME-SYN-904885,[SYN] PPE MSA SAFETY BP59-NK03-IGHE-7627 11 LEATHER CE HI-VIS,EACH,CAT-PPE,PPE,MSA Safety,BP59-NK03-IGHE-7627,,11,,,,,,,,,,,PLANT-1
NEC,NEC-SYN-460946,[SYN] PPE MSA SAFETY BP59-NK03-IGHE-7627-INCOMPAT 11,EACH,CAT-PPE,PPE,MSA Safety,BP59-NK03-IGHE-7627-INCOMPAT,,11,,,,,,,,,,,PLANT-1
AHM,AHM-SYN-103704,[SYN] PPE ANSELL RQDX-0QU8-LRD2-J40S L NITRILE EN 388 HI-VIS,EACH,CAT-PPE,PPE,Ansell,RQDX-0QU8-LRD2-J40S,,L,,,,,,,,,,,PLANT-2
BUS,BUS-SYN-305663,[SYN] PPE RQDX-0QU8-LRD2-J40S-INCOMPAT L ANSELL,EACH,CAT-PPE,PPE,Ansell,RQDX-0QU8-LRD2-J40S-INCOMPAT,,L,,,,,,,,,,,PLANT-2
NEC,NEC-SYN-577132,[SYN] FASTENER HILTI ZZSN-9RGOX8YNM-G4K1-0FF6 90 INCH 459 INCH 8.8 METRIC COARSE,EACH,CAT-FST,Fastener,Hilti,ZZSN-9RGOx8YNM-G4K1-0FF6,,,,,,,90 inch,,,,,,PLANT-1
BUS,BUS-SYN-687309,[SYN] FASTENER HILTI ZZSN-9RGOX8YNM-G4K1-0FF6-INCOMPAT 90 INCH,EACH,CAT-FST,Fastener,Hilti,ZZSN-9RGOx8YNM-G4K1-0FF6-INCOMPAT,,,,,,,90 inch,,,,,,PLANT-1
BUS,BUS-SYN-169475,[SYN] INSTRUMENTATION WIKA BKHM-ZE8U-Z0L8-78HJ-BHTG 6606 DEGC 0-10V 1/2 NPT 0.25%,EACH,CAT-INS,Instrumentation,WIKA,BKHM-ZE8U-Z0L8-78HJ-BHTG,,,,,,,,,,,,,PLANT-4
GME,GME-SYN-369730,[SYN] INSTRUMENTATION WIKA BKHM-ZE8U-Z0L8-78HJ-BHTG-INCOMPAT,EACH,CAT-INS,Instrumentation,WIKA,BKHM-ZE8U-Z0L8-78HJ-BHTG-INCOMPAT,,,,,,,,,,,,,PLANT-4
CPI,CPI-SYN-599113,[SYN] FASTENER HILTI X83E-P9OLXFTPU-Y21W-7UBF 95 INCH 131 MM 10.9 METRIC FINE,EACH,CAT-FST,Fastener,Hilti,X83E-P9OLxFTPU-Y21W-7UBF,,,,,,,95 inch,,,,,,PLANT-1
BUS,BUS-SYN-253671,[SYN] FASTENER HILTI X83E-P9OLXFTPU-Y21W-7UBF-INCOMPAT 95 INCH,EACH,CAT-FST,Fastener,Hilti,X83E-P9OLxFTPU-Y21W-7UBF-INCOMPAT,,,,,,,95 inch,,,,,,PLANT-1
NEC,NEC-SYN-786206,[SYN] CABLE NEXANS EPJ7C X HUM9 SQMM QP6S/MCN8 H5J6 10 EACH 340.51 AWG 66KV PVC,EACH,CAT-CBL,Cable,Nexans,EPJ7C x HUM9 sqmm QP6S/MCN8 H5J6,,,,,,,,,,,,,PLANT-3
CPI,CPI-SYN-258373,[SYN] CABLE NEXANS EPJ7C X HUM9 SQMM QP6S/MCN8 H5J6-INCOMPAT,EACH,CAT-CBL,Cable,Nexans,EPJ7C x HUM9 sqmm QP6S/MCN8 H5J6-INCOMPAT,,,,,,,,,,,,,PLANT-3
NEC,NEC-SYN-722256,[SYN] FLANGE ULMA 914U-JNLK-SMGB-B0HN-G3HO 26.12 INCH 1500# BLIND RAISED FACE (RF),EACH,CAT-FLG,Flange,Ulma,914U-JNLK-SMGB-B0HN-G3HO,,26.12 inch,1500#,,,,,,,,,,PLANT-2
BUS,BUS-SYN-493005,[SYN] FLANGE ULMA 914U-JNLK-SMGB-B0HN-G3HO-INCOMPAT 26.12 INCH 1500#,EACH,CAT-FLG,Flange,Ulma,914U-JNLK-SMGB-B0HN-G3HO-INCOMPAT,,26.12 inch,1500#,,,,,,,,,,PLANT-2
BUS,BUS-SYN-156702,[SYN] MOTOR SIEMENS 6W75-4BL8-RFWF-8H8X-72G8 7929.59 HP 8805 V 60 HZ 1800 RPM EXPLOSION PROOF,EACH,CAT-MTR,Motor,Siemens,6W75-4BL8-RFWF-8H8X-72G8,,,,8805 V,7929.59 HP,60 HZ,,,,,,,PLANT-2
BUS,BUS-SYN-115397,[SYN] MOTOR SIEMENS 6W75-4BL8-RFWF-8H8X-72G8 7929.59 HP 8805 V 60 HZ,EACH,CAT-MTR,Motor,Siemens,6W75-4BL8-RFWF-8H8X-72G8,,,,8805 V,CONFLICTING_VAL,60 HZ,,,,,,,PLANT-2
GME,GME-SYN-657994,[SYN] CABLE POLYCAB ZF7SC X 2CG1 SQMM WCG9/QIRX C19U 27 EACH 885.1 MM2 11KV EPR,EACH,CAT-CBL,Cable,Polycab,ZF7SC x 2CG1 sqmm WCG9/QIRX C19U,,,,,,,,,,,,,PLANT-4
GME,GME-SYN-683568,[SYN] CABLE POLYCAB ZF7SC X 2CG1 SQMM WCG9/QIRX C19U-INCOMPAT,EACH,CAT-CBL,Cable,Polycab,ZF7SC x 2CG1 sqmm WCG9/QIRX C19U-INCOMPAT,,,,,,,,,,,,,PLANT-4
NEC,NEC-SYN-301929,[SYN] LUBRICANT SHELL RLRK HAZY O2PT - DMMX SAE 10W-40 SILICONE NLGI 1 966 KG,EACH,CAT-LUB,Lubricant,Shell,RLRK HAZY O2PT - DMMX,,,,,,,,,,,,,PLANT-4
CPI,CPI-SYN-642268,[SYN] LUBRICANT SHELL RLRK HAZY O2PT - DMMX-INCOMPAT,EACH,CAT-LUB,Lubricant,Shell,RLRK HAZY O2PT - DMMX-INCOMPAT,,,,,,,,,,,,,PLANT-4
GME,GME-SYN-675450,[SYN] INSTRUMENTATION HONEYWELL V59S-P77E-KFWJ-C8ID-YXSA -101 PSI 4-20MA SANITARY 0.25%,EACH,CAT-INS,Instrumentation,Honeywell,V59S-P77E-KFWJ-C8ID-YXSA,,,,,,,,,,,,,PLANT-3
AHM,AHM-SYN-415174,[SYN] INSTRUMENTATION HONEYWELL V59S-P77E-KFWJ-C8ID-YXSA-INCOMPAT,EACH,CAT-INS,Instrumentation,Honeywell,V59S-P77E-KFWJ-C8ID-YXSA-INCOMPAT,,,,,,,,,,,,,PLANT-3
BUS,BUS-SYN-557123,[SYN] MOTOR BALDOR HBXJ-9SOD-XZJW-MLMM-KT9I 8200.14 KW 9571 KV 50 HZ 1800 RPM TEFC,EACH,CAT-MTR,Motor,Baldor,HBXJ-9SOD-XZJW-MLMM-KT9I,,,,9571 KV,8200.14 kW,50 HZ,,,,,,,PLANT-5
BUS,BUS-SYN-962748,[SYN] MOTOR BALDOR HBXJ-9SOD-XZJW-MLMM-KT9I 8200.14 KW 9571 KV 50 HZ,EACH,CAT-MTR,Motor,Baldor,HBXJ-9SOD-XZJW-MLMM-KT9I,,,,CONFLICTING_VAL,8200.14 kW,50 HZ,,,,,,,PLANT-5
CPI,CPI-SYN-761816,[SYN] FASTENER KAMAX 94T6-VWU4XNSX6-CYNC-DRVK 29 INCH 273 INCH A2-70 METRIC FINE,EACH,CAT-FST,Fastener,Kamax,94T6-VWU4xNSX6-CYNC-DRVK,,,,,,,29 inch,,,,,,PLANT-3
NEC,NEC-SYN-494301,[SYN] FASTENER KAMAX 94T6-VWU4XNSX6-CYNC-DRVK-INCOMPAT 29 INCH,EACH,CAT-FST,Fastener,Kamax,94T6-VWU4xNSX6-CYNC-DRVK-INCOMPAT,,,,,,,29 inch,,,,,,PLANT-3
GME,GME-SYN-665200,[SYN] BEARING FAG 6OOV4DH9SHC1 (E.G. 6204-2RS1/C3) 428 INCH 212 INCH 332 MM 2RS,EACH,CAT-BRG,Bearing,FAG,6OOV4DH9SHC1 (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,PLANT-1
GME,GME-SYN-901428,[SYN] BEARING FAG 6OOV4DH9SHC1 (E.G. 6204-2RS1/C3) 2RS,EACH,CAT-BRG,Bearing,FAG,6OOV4DH9SHC1 (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,PLANT-1
BUS,BUS-SYN-955486,[SYN] GASKET GARLOCK 6QEG-PRWR-S4O3-JT8L-GO8C-4752 22.94 MM 900# CNAF PTFE,EACH,CAT-GSK,Gasket,Garlock,6QEG-PRWR-S4O3-JT8L-GO8C-4752,,22.94 mm,900#,,,,,,,,,,PLANT-3
CPI,CPI-SYN-142347,[SYN] GASKET GARLOCK 6QEG-PRWR-S4O3-JT8L-GO8C-4752-INCOMPAT 22.94 MM 900#,EACH,CAT-GSK,Gasket,Garlock,6QEG-PRWR-S4O3-JT8L-GO8C-4752-INCOMPAT,,22.94 mm,900#,,,,,,,,,,PLANT-3
CPI,CPI-SYN-901027,[SYN] VALVE FLOWSERVE FYFI-890R-F7C5-6OVF-Q3H2-LO3K 0.97 MM 900# CF8M FLANGED,EACH,CAT-VLV,Valve,Flowserve,FYFI-890R-F7C5-6OVF-Q3H2-LO3K,,0.97 mm,900#,,,,,,,CF8M,,Flanged,PLANT-4
BUS,BUS-SYN-817378,[SYN] VALVE FLOWSERVE FYFI-890R-F7C5-6OVF-Q3H2-LO3K 0.97 MM 900# CF8M FLANGED,EACH,CAT-VLV,Valve,Flowserve,FYFI-890R-F7C5-6OVF-Q3H2-LO3K,,0.97 mm,900#,,,,,,,CONFLICTING_VAL,,Flanged,PLANT-4
CPI,CPI-SYN-979325,[SYN] VALVE EMERSON 7P9X-IZRW-Y9E0-5E41-F9ZA-BZWV 31.62 INCH 300# WCB WAFER,EACH,CAT-VLV,Valve,Emerson,7P9X-IZRW-Y9E0-5E41-F9ZA-BZWV,,31.62 inch,300#,,,,,,,WCB,,Wafer,PLANT-3
AHM,AHM-SYN-513499,[SYN] VALVE EMERSON 7P9X-IZRW-Y9E0-5E41-F9ZA-BZWV 31.62 INCH 300# WCB WAFER,EACH,CAT-VLV,Valve,Emerson,7P9X-IZRW-Y9E0-5E41-F9ZA-BZWV,,CONFLICTING_VAL,300#,,,,,,,WCB,,Wafer,PLANT-3
NEC,NEC-SYN-612560,[SYN] ELECTRICAL COMPONENT ABB LCZO-49GI-VO38-OJJR 1330.06 A 79703 V 3P 122 KA,EACH,CAT-ELC,Electrical Component,ABB,LCZO-49GI-VO38-OJJR,,,,,,,,,,,,,PLANT-5
CPI,CPI-SYN-431535,[SYN] ELECTRICAL COMPONENT ABB LCZO-49GI-VO38-OJJR-INCOMPAT,EACH,CAT-ELC,Electrical Component,ABB,LCZO-49GI-VO38-OJJR-INCOMPAT,,,,,,,,,,,,,PLANT-5
CPI,CPI-SYN-506214,[SYN] MOTOR WEG 0GXC-2DTZ-GS9V-MBJX-LD52 43.98 KW 1829 KV 50 HZ 1200 RPM ODP,EACH,CAT-MTR,Motor,WEG,0GXC-2DTZ-GS9V-MBJX-LD52,,,,1829 KV,43.98 kW,50 HZ,,,,,,,PLANT-2
AHM,AHM-SYN-109430,[SYN] MOTOR WEG 0GXC-2DTZ-GS9V-MBJX-LD52 43.98 KW 1829 KV 50 HZ,EACH,CAT-MTR,Motor,WEG,0GXC-2DTZ-GS9V-MBJX-LD52,,,,CONFLICTING_VAL,43.98 kW,50 HZ,,,,,,,PLANT-2
CPI,CPI-SYN-400801,[SYN] GASKET FLEXITALLIC 38RN-4GAW-8WAJ-YVWK-5EDE-Q597 61.51 MM 2500# CORRUGATED METAL GRAPHITE/SS316,EACH,CAT-GSK,Gasket,Flexitallic,38RN-4GAW-8WAJ-YVWK-5EDE-Q597,,61.51 mm,2500#,,,,,,,,,,PLANT-1
GME,GME-SYN-391813,[SYN] GASKET FLEXITALLIC 38RN-4GAW-8WAJ-YVWK-5EDE-Q597-INCOMPAT 61.51 MM 2500#,EACH,CAT-GSK,Gasket,Flexitallic,38RN-4GAW-8WAJ-YVWK-5EDE-Q597-INCOMPAT,,61.51 mm,2500#,,,,,,,,,,PLANT-1
AHM,AHM-SYN-638339,[SYN] LUBRICANT KLÜBER ZU8X L6YD RMI1 - WQSP ISO VG 68 SILICONE NLGI 1 678 KG,EACH,CAT-LUB,Lubricant,Klüber,ZU8X L6YD RMI1 - WQSP,,,,,,,,,,,,,PLANT-5
BUS,BUS-SYN-799745,[SYN] LUBRICANT KLÜBER ZU8X L6YD RMI1 - WQSP-INCOMPAT,EACH,CAT-LUB,Lubricant,Klüber,ZU8X L6YD RMI1 - WQSP-INCOMPAT,,,,,,,,,,,,,PLANT-5
AHM,AHM-SYN-674152,[SYN] PIPE ARCELORMITTAL AFK6-ANB5-5ZOA-Z4AU-WXJD 119.12 INCH SCH10 ASTM A106 GR B 10 M,EACH,CAT-PIP,Pipe,ArcelorMittal,AFK6-ANB5-5ZOA-Z4AU-WXJD,ASTM A106 Gr B,,,,,,119.12 inch,SCH10,,,,,PLANT-4
BUS,BUS-SYN-711357,[SYN] PIPE ARCELORMITTAL AFK6-ANB5-5ZOA-Z4AU-WXJD 119.12 INCH SCH10 ASTM A106 GR B,EACH,CAT-PIP,Pipe,ArcelorMittal,AFK6-ANB5-5ZOA-Z4AU-WXJD,ASTM A106 Gr B,,,,,,CONFLICTING_VAL,SCH10,,,,,PLANT-4
AHM,AHM-SYN-165737,[SYN] INSTRUMENTATION ENDRESS+HAUSER LFMX-41OT-KSEL-M36F-FAOP 1192 PSI HART 1/2 NPT 1.0%,EACH,CAT-INS,Instrumentation,Endress+Hauser,LFMX-41OT-KSEL-M36F-FAOP,,,,,,,,,,,,,PLANT-3
CPI,CPI-SYN-220525,[SYN] INSTRUMENTATION ENDRESS+HAUSER LFMX-41OT-KSEL-M36F-FAOP-INCOMPAT,EACH,CAT-INS,Instrumentation,Endress+Hauser,LFMX-41OT-KSEL-M36F-FAOP-INCOMPAT,,,,,,,,,,,,,PLANT-3
